LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1715671074.056712,2427683,3891,1,BI,1,100,1110
1715671075.117573,2428695,4060,1,BI,1,100,1060
1715671076.173193,2429702,4237,1,BI,1,100,1050
1715671077.216233,2430697,4406,1,BI,1,100,1040
1715671078.291770,2431723,4581,1,BI,1,100,1070
1715671079.452219,2432830,4753,1,BI,1,100,1150
1715671080.528804,2433857,4926,1,BI,1,100,1070
1715671081.639983,2434917,5119,1,BI,1,100,1110
1715671082.735437,2435962,5293,1,BI,1,100,1090
1715671083.738643,2436919,5448,1,BI,1,100,1000
1715671084.856111,2437985,5617,1,BI,1,100,1110
1715671085.919069,2438999,5789,1,BI,1,100,1060
1715671086.906551,2439941,5947,1,BI,1,100,980
1715671087.970557,2440956,6122,1,BI,1,100,1060
1715671088.983197,2441922,6275,1,BI,1,100,1000
1715671089.953906,2442848,6426,1,BI,1,100,960
1715671091.052505,2443896,6616,1,BI,1,100,1100
1715671092.027407,2444826,6764,1,BI,1,100,970
1715671093.051579,2445803,6935,1,BI,1,100,1020
1715671094.181627,2446881,7107,1,BI,1,100,1120
1715671095.201605,2447854,7262,1,BI,1,100,1020
1715671096.279238,2448882,7431,1,BI,1,100,1070
1715671097.371548,2449924,7609,1,BI,1,100,1090
1715671098.389430,2450895,7783,1,BI,1,100,1010
1715671099.444001,2451901,7952,1,BI,1,100,1050
1715671100.531070,2452938,8124,1,BI,1,100,1080
1715671101.529034,2453890,8277,1,BI,1,100,990
1715671102.557398,2454871,8454,1,BI,1,100,1030
1715671103.641322,2455905,8629,1,BI,1,100,1070
1715671104.587920,2456808,8782,1,BI,1,100,950
1715671105.698051,2457867,8955,1,BI,1,100,1100
1715671106.785119,2458904,9127,1,BI,1,100,1080
1715671107.740104,2459815,9301,1,BI,1,100,960
1715671108.772661,2460800,9459,1,BI,1,100,1020
1715671109.783205,2461764,9611,1,BI,1,100,1000
1715671110.763348,2462699,9783,1,BI,1,100,980
1715671111.826306,2463713,9952,1,BI,1,100,1060
1715671112.935388,2464771,10127,1,BI,1,100,1100
1715671114.016167,2465802,10304,1,BI,1,100,1080
1715671115.145166,2466879,10475,1,BI,1,100,1120
1715671116.221752,2467906,10647,1,BI,1,100,1070
1715671117.244875,2468882,10817,1,BI,1,100,1020
1715671118.366536,2469952,10991,1,BI,1,100,1110
1715671119.445219,2470981,11182,1,BI,1,100,1080
1715671120.394962,2471887,11321,1,BI,1,100,940
1715671121.347850,2472796,11474,1,BI,1,100,950
1715671122.149786,2473561,11613,1,BI,1,100,800
1715671122.950673,2474325,11737,1,BI,1,100,790
1715671123.663505,2475005,11839,1,BI,1,100,710
