LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1715670624.801908,1999120.000,64652,1,TH,1,100,36.024
1715670624.937136,1999249.000,64668,1,TH,1,100,35.962
1715670625.069220,1999375.000,64686,1,TH,1,100,35.962
1715670625.203400,1999503.000,64717,1,TH,1,100,36.001
1715670625.336531,1999630.000,64734,1,TH,1,100,36.001
1715670625.468615,1999756.000,64751,1,TH,1,100,36.082
1715670625.599650,1999881.000,64767,1,TH,1,100,36.082
1715670625.733830,2000009.000,64801,1,TH,1,100,35.964
1715670625.866962,2000136.000,64818,1,TH,1,100,35.964
1715670626.002190,2000265.000,64835,1,TH,1,100,36.010
1715670626.136370,2000393.000,64852,1,TH,1,100,36.010
1715670626.269502,2000520.000,64884,1,TH,1,100,36.073
1715670626.404731,2000649.000,64900,1,TH,1,100,36.073
1715670626.536814,2000775.000,64917,1,TH,1,100,35.974
1715670626.667850,2000900.000,64936,1,TH,1,100,35.974
1715670626.799933,2001026.000,64967,1,TH,1,100,36.054
1715670626.933065,2001153.000,64985,1,TH,1,100,36.054
1715670627.067245,2001281.000,65001,1,TH,1,100,36.059
1715670627.200377,2001408.000,65018,1,TH,1,100,36.059
1715670627.334557,2001536.000,65050,1,TH,1,100,36.072
1715670627.469785,2001665.000,65066,1,TH,1,100,36.072
1715670627.600820,2001790.000,65083,1,TH,1,100,36.015
1715670627.732904,2001916.000,65102,1,TH,1,100,36.015
1715670627.863939,2002041.000,65133,1,TH,1,100,36.029
1715670627.997071,2002168.000,65151,1,TH,1,100,36.029
1715670628.130203,2002295.000,65167,1,TH,1,100,36.015
1715670628.265431,2002424.000,65184,1,TH,1,100,36.015
1715670628.397514,2002550.000,65216,1,TH,1,100,36.029
1715670628.531694,2002678.000,65232,1,TH,1,100,36.029
1715670628.665874,2002806.000,65250,1,TH,1,100,36.020
1715670628.797958,2002932.000,65270,1,TH,1,100,36.020
1715670628.928993,2003057.000,65302,1,TH,1,100,36.033
1715670629.063173,2003185.000,65319,1,TH,1,100,36.033
1715670629.195257,2003311.000,65335,1,TH,1,100,36.036
1715670629.330485,2003440.000,65353,1,TH,1,100,36.036
1715670629.464665,2003568.000,65386,1,TH,1,100,36.031
1715670629.597797,2003695.000,65403,1,TH,1,100,36.031
1715670629.733026,2003824.000,65420,1,TH,1,100,35.997
1715670629.865109,2003950.000,65436,1,TH,1,100,35.997
1715670629.996144,2004075.000,65468,1,TH,1,100,36.045
1715670630.127179,2004200.000,65485,1,TH,1,100,36.045
1715670630.260311,2004327.000,65501,1,TH,1,100,36.015
1715670630.394491,2004455.000,65521,1,TH,1,100,36.015
1715670630.527623,2004582.000,16,1,TH,1,100,36.001
1715670630.661803,2004710.000,33,1,TH,1,100,36.001
1715670630.797032,2004839.000,50,1,TH,1,100,36.036
1715670630.928067,2004964.000,66,1,TH,1,100,36.036
1715670631.061198,2005091.000,98,1,TH,1,100,36.010
1715670631.192234,2005216.000,115,1,TH,1,100,36.010
1715670631.325366,2005343.000,132,1,TH,1,100,36.027
1715670631.458497,2005470.000,151,1,TH,1,100,36.027
1715670631.593726,2005599.000,183,1,TH,1,100,35.992
1715670631.725809,2005725.000,199,1,TH,1,100,35.992
1715670631.859989,2005853.000,216,1,TH,1,100,36.006
1715670631.995218,2005982.000,233,1,TH,1,100,36.006
1715670632.127301,2006108.000,264,1,TH,1,100,36.041
1715670632.258336,2006233.000,281,1,TH,1,100,36.041
1715670632.391468,2006360.000,298,1,TH,1,100,35.937
1715670632.523552,2006486.000,315,1,TH,1,100,35.944
1715670632.658780,2006615.000,349,1,TH,1,100,36.080
1715670632.792960,2006743.000,365,1,TH,1,100,36.073
1715670632.925044,2006869.000,382,1,TH,1,100,35.999
1715670633.061320,2006999.000,414,1,TH,1,100,35.999
